Ball#,Pin Name,Type,Ball Reset State,Pull Up/Down,Default Buffer Strength (mA),Power Supply,Section
T21,SA0,O,Z,NA,NA,VCC_DRAM,SDRAM
U17,SA1,O,Z,NA,NA,VCC_DRAM,SDRAM
T18,SA2,O,Z,NA,NA,VCC_DRAM,SDRAM
T16,SA3,O,Z,NA,NA,VCC_DRAM,SDRAM
R18,SA4,O,Z,NA,NA,VCC_DRAM,SDRAM
P15,SA5,O,Z,NA,NA,VCC_DRAM,SDRAM
U20,SA6,O,Z,NA,NA,VCC_DRAM,SDRAM
N19,SA7,O,Z,NA,NA,VCC_DRAM,SDRAM
U19,SA8,O,Z,NA,NA,VCC_DRAM,SDRAM
N16,SA9,O,Z,NA,NA,VCC_DRAM,SDRAM
R19,SA10,O,Z,NA,NA,VCC_DRAM,SDRAM
U15,SA11,O,Z,NA,NA,VCC_DRAM,SDRAM
U16,SA12,O,Z,NA,NA,VCC_DRAM,SDRAM
P16,SA13,O,Z,NA,NA,VCC_DRAM,SDRAM
V20,SA14,O,Z,NA,NA,VCC_DRAM,SDRAM
N13,SA15,O,Z,NA,NA,VCC_DRAM,SDRAM
U18,SA16,O,Z,NA,NA,VCC_DRAM,SDRAM
N3,SDQ0,I/O,Z,NA,NA,VCC_DRAM,SDRAM
U4,SDQ1,I/O,Z,NA,NA,VCC_DRAM,SDRAM
N2,SDQ2,I/O,Z,NA,NA,VCC_DRAM,SDRAM
T4,SDQ3,I/O,Z,NA,NA,VCC_DRAM,SDRAM
U3,SDQ4,I/O,Z,NA,NA,VCC_DRAM,SDRAM
P1,SDQ5,I/O,Z,NA,NA,VCC_DRAM,SDRAM
T2,SDQ6,I/O,Z,NA,NA,VCC_DRAM,SDRAM
P2,SDQ7,I/O,Z,NA,NA,VCC_DRAM,SDRAM
P5,SDQ8,I/O,Z,NA,NA,VCC_DRAM,SDRAM
V3,SDQ9,I/O,Z,NA,NA,VCC_DRAM,SDRAM
P4,SDQ10,I/O,Z,NA,NA,VCC_DRAM,SDRAM
R4,SDQ11,I/O,Z,NA,NA,VCC_DRAM,SDRAM
R6,SDQ12,I/O,Z,NA,NA,VCC_DRAM,SDRAM
N4,SDQ13,I/O,Z,NA,NA,VCC_DRAM,SDRAM
P6,SDQ14,I/O,Z,NA,NA,VCC_DRAM,SDRAM
N5,SDQ15,I/O,Z,NA,NA,VCC_DRAM,SDRAM
T11,SDQ16,I/O,Z,NA,NA,VCC_DRAM,SDRAM
U12,SDQ17,I/O,Z,NA,NA,VCC_DRAM,SDRAM
T12,SDQ18,I/O,Z,NA,NA,VCC_DRAM,SDRAM
U9,SDQ19,I/O,Z,NA,NA,VCC_DRAM,SDRAM
T6,SDQ20,I/O,Z,NA,NA,VCC_DRAM,SDRAM
U5,SDQ21,I/O,Z,NA,NA,VCC_DRAM,SDRAM
T7,SDQ22,I/O,Z,NA,NA,VCC_DRAM,SDRAM
T5,SDQ23,I/O,Z,NA,NA,VCC_DRAM,SDRAM
R9,SDQ24,I/O,Z,NA,NA,VCC_DRAM,SDRAM
P7,SDQ25,I/O,Z,NA,NA,VCC_DRAM,SDRAM
N7,SDQ26,I/O,Z,NA,NA,VCC_DRAM,SDRAM
P9,SDQ27,I/O,Z,NA,NA,VCC_DRAM,SDRAM
P10,SDQ28,I/O,Z,NA,NA,VCC_DRAM,SDRAM
U11,SDQ29,I/O,Z,NA,NA,VCC_DRAM,SDRAM
P12,SDQ30,I/O,Z,NA,NA,VCC_DRAM,SDRAM
R12,SDQ31,I/O,Z,NA,NA,VCC_DRAM,SDRAM
U1,SDQM0,O,Z,NA,NA,VCC_DRAM,SDRAM
R3,SDQM1,O,Z,NA,NA,VCC_DRAM,SDRAM
T9,SDQM2,O,Z,NA,NA,VCC_DRAM,SDRAM
N10,SDQM3,O,Z,NA,NA,VCC_DRAM,SDRAM
R2,SDQS0P,I/O,Z,NA,NA,VCC_DRAM,SDRAM
U2,SDQS1P,I/O,Z,NA,NA,VCC_DRAM,SDRAM
V8,SDQS2P,I/O,Z,NA,NA,VCC_DRAM,SDRAM
V10,SDQS3P,I/O,Z,NA,NA,VCC_DRAM,SDRAM
R1,SDQS0N,I/O,Z,NA,NA,VCC_DRAM,SDRAM
V2,SDQS1N,I/O,Z,NA,NA,VCC_DRAM,SDRAM
U8,SDQS2N,I/O,Z,NA,NA,VCC_DRAM,SDRAM
U10,SDQS3N,I/O,Z,NA,NA,VCC_DRAM,SDRAM
P18,SACT,O,Z,NA,NA,VCC_DRAM,SDRAM
N21,SBA0,O,Z,NA,NA,VCC_DRAM,SDRAM
R15,SBA1,O,Z,NA,NA,VCC_DRAM,SDRAM
P20,SBG0,O,Z,NA,NA,VCC_DRAM,SDRAM
P21,SBG1,O,Z,NA,NA,VCC_DRAM,SDRAM
T14,SCKP,O,Z,NA,NA,VCC_DRAM,SDRAM
U14,SCKN,O,Z,NA,NA,VCC_DRAM,SDRAM
V15,SCKE0,O,Z,NA,NA,VCC_DRAM,SDRAM
